user_id,content_id,action,timestamp,device,region,session_id
173,1010,play,2025-03-02 07:41:59,tablet,US,29de6cb5
200,1010,forward,2025-03-02 02:48:59,tablet,APAC,07530625
112,1002,pause,2025-03-01 19:12:59,mobile,APAC,b4805b9c
179,1000,forward,2025-03-01 23:39:59,tablet,APAC,0875be35
183,1002,pause,2025-03-02 15:19:59,mobile,APAC,b58783ed
189,1010,skip,2025-03-02 09:15:59,mobile,EU,5ee0460e
148,1003,pause,2025-03-02 09:04:59,desktop,EU,891391f7
152,1000,pause,2025-03-02 07:51:59,tablet,US,ceb5eaa7
103,1008,play,2025-03-02 05:57:59,mobile,US,968942dc
185,1008,play,2025-03-02 00:05:59,desktop,US,edbaa240
187,1002,pause,2025-03-02 15:31:59,tablet,APAC,cfbd34d3
119,1003,forward,2025-03-01 17:26:59,mobile,US,7f3e8dd8
145,1008,play,2025-03-02 06:13:59,mobile,APAC,65e24952
111,1008,pause,2025-03-01 17:11:59,mobile,US,8a96cf94
154,1000,skip,2025-03-02 00:44:59,desktop,EU,1152e93e
135,1004,forward,2025-03-01 16:58:59,desktop,US,b21adac7
184,1003,play,2025-03-02 16:16:59,desktop,US,5172c3c8
101,1002,pause,2025-03-02 05:23:59,mobile,EU,18862dcf
163,1004,pause,2025-03-02 09:43:59,tablet,US,d741d45c
189,1008,skip,2025-03-02 00:50:59,desktop,EU,2e8033c1
117,1003,skip,2025-03-03 10:52:59,tablet,US,f8ad6857
128,1006,forward,2025-03-03 09:14:59,mobile,EU,7cfca604
141,1002,pause,2025-03-03 08:58:59,mobile,US,e0529fc6
190,1005,play,2025-03-02 18:07:59,mobile,US,1e708596
133,1008,skip,2025-03-03 16:18:59,tablet,APAC,5827535d
141,1008,pause,2025-03-03 00:26:59,tablet,EU,44674335
173,1005,pause,2025-03-03 13:20:59,mobile,US,690012a5
103,1003,play,2025-03-02 23:41:59,desktop,US,61ce2ab7
105,1004,forward,2025-03-03 07:43:59,desktop,EU,54d0c570
185,1009,forward,2025-03-02 23:20:59,mobile,US,87f827b4
104,1006,forward,2025-03-03 04:06:59,mobile,EU,bbca3770
140,1006,pause,2025-03-03 03:10:59,desktop,APAC,5ebb108a
134,1004,pause,2025-03-03 01:24:59,mobile,US,250adc66
138,1009,play,2025-03-03 00:15:59,desktop,APAC,e0cdc12c
170,1002,pause,2025-03-03 04:10:59,tablet,APAC,d97a1a88
153,1003,skip,2025-03-02 20:38:59,desktop,EU,b10bf0e6
190,1001,play,2025-03-02 21:56:59,mobile,US,6a326523
158,1009,skip,2025-03-02 23:04:59,desktop,US,38f3d588
192,1009,pause,2025-03-03 03:17:59,desktop,APAC,1decfe3f
199,1006,pause,2025-03-02 20:49:59,desktop,APAC,541fcb97
133,1010,pause,2025-03-02 23:58:59,tablet,APAC,f188c20b
151,1002,pause,2025-03-03 11:57:59,tablet,US,ebac45ce
109,1005,skip,2025-03-03 01:20:59,tablet,US,6d75b7ae
129,1008,skip,2025-03-02 23:05:59,mobile,US,0b4c864e
165,1003,pause,2025-03-03 15:57:59,mobile,EU,fcb240af
181,1001,skip,2025-03-04 02:52:59,desktop,US,0a27da6a
157,1004,skip,2025-03-04 11:03:59,tablet,APAC,f15715ca
175,1000,pause,2025-03-03 18:54:59,tablet,US,4b8a6c1a
133,1009,skip,2025-03-03 20:58:59,tablet,EU,3f46342b
119,1004,play,2025-03-04 08:01:59,desktop,EU,fbca5e7f
151,1009,skip,2025-03-03 21:01:59,tablet,APAC,86f64d83
193,1007,play,2025-03-04 07:39:59,desktop,EU,cdf37564
195,1001,skip,2025-03-03 20:43:59,tablet,US,b99bf86f
153,1001,skip,2025-03-04 14:17:59,tablet,EU,5f21be60
195,1003,forward,2025-03-04 07:39:59,tablet,APAC,8845f16f
156,1005,forward,2025-03-04 08:51:59,mobile,EU,4d9b3917
130,1005,forward,2025-03-04 15:59:59,mobile,US,95855cf7
116,1010,forward,2025-03-03 20:09:59,mobile,EU,5be1c9f5
114,1009,forward,2025-03-04 11:18:59,desktop,APAC,7dd5dd01
112,1009,play,2025-03-03 18:44:59,tablet,US,1f0ca065
111,1002,play,2025-03-03 23:24:59,mobile,US,0c7d4b06
189,1002,play,2025-03-04 05:21:59,tablet,EU,f1081540
171,1001,pause,2025-03-04 15:37:59,tablet,US,dbfb345f
105,1003,pause,2025-03-04 01:01:59,desktop,EU,8b2f255e
168,1010,skip,2025-03-04 12:04:59,desktop,US,3a4113b1
133,1005,skip,2025-03-04 02:50:59,desktop,US,015ad93a
200,1001,forward,2025-03-04 04:46:59,tablet,EU,08886aa0
125,1008,skip,2025-03-04 06:04:59,mobile,APAC,5f83a580
119,1010,forward,2025-03-03 22:06:59,desktop,APAC,d3be6730
191,1001,play,2025-03-04 01:09:59,mobile,APAC,45eb2db9
156,1008,forward,2025-03-04 22:33:59,desktop,EU,115cbe62
107,1010,play,2025-03-05 06:44:59,mobile,US,401f10f5
132,1001,skip,2025-03-04 21:53:59,desktop,EU,aadfdda2
195,1000,play,2025-03-05 15:34:59,tablet,US,da495c8b
116,1001,pause,2025-03-04 19:39:59,desktop,US,94595a07
130,1008,skip,2025-03-04 20:36:59,tablet,EU,d902dbca
188,1008,pause,2025-03-05 16:26:59,mobile,US,d657210a
200,1007,skip,2025-03-04 19:53:59,mobile,EU,a00018e7
137,1009,forward,2025-03-04 23:48:59,mobile,EU,744c9043
129,1010,skip,2025-03-05 06:15:59,desktop,EU,ba127f79
199,1001,forward,2025-03-05 06:23:59,desktop,US,4d16f1bf
104,1008,skip,2025-03-05 10:23:59,desktop,APAC,46cbb85d
142,1001,pause,2025-03-04 19:16:59,desktop,US,128b9259
117,1009,pause,2025-03-05 09:56:59,mobile,EU,a411cab8
119,1007,pause,2025-03-05 07:15:59,mobile,EU,98de5600
115,1002,pause,2025-03-05 02:28:59,mobile,APAC,27ad59a2
185,1006,pause,2025-03-05 13:59:59,tablet,EU,33f95364
144,1004,play,2025-03-05 00:36:59,mobile,US,b2023421
117,1005,play,2025-03-05 10:00:59,tablet,US,41e76a11
171,1003,skip,2025-03-05 12:49:59,mobile,US,f2e720e7
104,1006,skip,2025-03-05 01:10:59,tablet,US,99afe6cd
127,1006,skip,2025-03-05 00:49:59,mobile,APAC,d1327f78
130,1007,play,2025-03-04 22:30:59,mobile,US,75d35a1b
195,1009,skip,2025-03-04 16:40:59,tablet,EU,539ef796
188,1004,pause,2025-03-04 20:55:59,tablet,US,78e2ed00
169,1001,forward,2025-03-05 22:36:59,tablet,EU,6b0d3c8b
200,1006,pause,2025-03-05 22:45:59,desktop,EU,6c8398a0
123,1007,skip,2025-03-06 03:40:59,desktop,APAC,45c89506
154,1008,skip,2025-03-05 19:37:59,desktop,APAC,c1f6ce37
118,1002,pause,2025-03-06 05:38:59,desktop,EU,9deccd22
136,1004,play,2025-03-06 07:21:59,tablet,EU,aa284834
165,1002,play,2025-03-06 03:55:59,mobile,EU,554d9513
155,1002,forward,2025-03-06 06:43:59,mobile,EU,0f0a23a0
137,1001,forward,2025-03-06 16:07:59,tablet,EU,07da6329
177,1004,forward,2025-03-06 01:22:59,desktop,EU,7361d32a
150,1004,play,2025-03-05 20:45:59,desktop,EU,c82e1f59
170,1001,play,2025-03-06 16:07:59,tablet,APAC,7b9b3f20
138,1005,skip,2025-03-06 05:04:59,tablet,EU,b6bd3e18
147,1007,skip,2025-03-05 16:35:59,mobile,US,7c247d1c
129,1001,forward,2025-03-06 15:43:59,desktop,APAC,4835feda
186,1005,play,2025-03-05 17:21:59,desktop,APAC,ea05629d
198,1003,skip,2025-03-05 21:32:59,mobile,APAC,30d7a1d1
118,1007,forward,2025-03-06 06:10:59,mobile,EU,df54b508
172,1002,pause,2025-03-06 04:57:59,desktop,APAC,4930994b
154,1005,skip,2025-03-06 10:18:59,tablet,EU,a42acee2
162,1008,skip,2025-03-06 11:33:59,desktop,US,a6a054db
198,1006,play,2025-03-06 07:29:59,tablet,US,3e3740e2
134,1003,play,2025-03-06 03:45:59,desktop,US,720199bb
113,1005,skip,2025-03-05 22:47:59,tablet,APAC,9618b1be
158,1007,pause,2025-03-06 02:43:59,tablet,EU,df847eeb
